Country Name,Indicator,Primary Value,Primary Value Description,Secondary Value,Secondary Value Description,WTO Membership,WTO Accession Date
Guinea-Bissau,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Guyana,All Products,11.17,Simple Average Applied MFN tariff,2013,Year of applied MFN tariff,WTO Member,1 January 1995
Haiti,All Products,4.76,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,30 January 1996
Honduras,All Products,5.72,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
"Hong Kong, China",All Products,0.00,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Iceland,All Products,5.26,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
India,All Products,13.48,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Indonesia,All Products,6.85,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Israel,All Products,4.56,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,21 April 1995
Jamaica,All Products,8.51,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,9 March 1995
Japan,All Products,4.21,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Jordan,All Products,10.15,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,11 April 2000
Kazakhstan,All Products,8.58,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Kenya,All Products,12.77,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Kingdom of Saudi Arabia,All Products,5.10,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,11 December 2005
"Korea, Republic of",All Products,13.32,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Kuwait,All Products,4.66,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Kyrgyz Republic,All Products,4.58,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,20 December 1998
Lao People's Democratic Republic,All Products,10.01,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,2 February 2013
Lebanon,All Products,5.71,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
Lesotho,All Products,7.57,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Liberia,All Products,10.23,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Observer,
"Macao, China",All Products,0.00,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Madagascar,All Products,11.73,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,17 November 1995
Malawi,All Products,12.56,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Malaysia,All Products,6.07,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,1 January 1995
Mali,All Products,11.92,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
Mauritania,All Products,12.02,Simple Average Applied MFN tariff,2014,Year of applied MFN tariff,WTO Member,31 May 1995
